aX,aY,aZ,gX,gY,gZ
0.229,-0.975,0.818,27.161,5.798,2.747

0.232,-0.984,0.826,29.480,6.531,3.601

0.230,-0.990,0.850,32.715,7.874,4.028

0.227,-0.998,0.883,35.706,9.155,4.272

0.229,-1.027,0.914,38.452,9.644,4.639

0.229,-1.061,0.944,42.419,10.681,5.493

0.229,-1.083,0.980,48.767,13.306,6.775

0.221,-1.102,1.007,55.969,15.503,8.850

0.208,-1.112,1.009,63.477,16.113,9.521



0.383,1.214,-1.055,65.002,18.677,-0.061

0.387,1.222,-1.047,39.185,22.827,-9.399

0.367,1.213,-1.007,10.864,26.855,-21.667

0.324,1.180,-0.970,-15.076,28.381,-33.813

0.270,1.137,-0.933,-38.330,27.405,-44.861

0.207,1.084,-0.898,-59.509,25.269,-53.284

0.140,1.012,-0.861,-77.881,23.071,-57.312

0.094,0.938,-0.830,-93.262,21.362,-56.396

0.077,0.845,-0.823,-105.286,18.311,-51.086

0.076,0.769,-0.827,-115.662,13.916,-43.518

0.084,0.712,-0.828,-125.549,10.254,-37.537

0.098,0.662,-0.827,-134.216,6.836,-34.180

0.117,0.609,-0.831,-141.357,2.258,-33.691

0.133,0.557,-0.832,-148.071,-2.808,-36.011

0.149,0.505,-0.825,-154.480,-7.263,-40.833

0.157,0.465,-0.812,-160.889,-11.230,-46.814

0.163,0.420,-0.793,-167.236,-14.954,-52.490

0.167,0.368,-0.761,-174.194,-17.456,-56.702

0.172,0.303,-0.729,-181.396,-19.531,-58.105

0.179,0.238,-0.683,-187.622,-21.912,-57.129

0.201,0.185,-0.636,-192.627,-23.804,-54.749

0.227,0.140,-0.614,-194.702,-26.184,-52.368

0.262,0.106,-0.615,-194.519,-29.968,-51.575

0.293,0.081,-0.617,-195.129,-33.875,-54.138

0.324,0.049,-0.625,-196.960,-38.086,-60.059

0.337,0.023,-0.626,-200.623,-43.152,-69.458

0.338,-0.003,-0.612,-206.787,-46.936,-80.017

0.337,-0.038,-0.578,-214.111,-50.110,-89.661

0.340,-0.099,-0.531,-222.717,-51.941,-96.741

0.336,-0.176,-0.473,-232.727,-53.772,-102.295

0.314,-0.300,-0.364,-242.859,-54.016,-105.713

0.308,-0.424,-0.230,-249.084,-48.157,-103.638

0.321,-0.558,-0.124,-246.948,-40.833,-99.792

0.324,-0.644,-0.087,-238.708,-35.889,-93.872

0.323,-0.681,-0.079,-226.868,-33.875,-90.210

0.315,-0.690,-0.100,-211.487,-36.865,-87.585

0.322,-0.676,-0.143,-196.716,-42.175,-85.327

0.329,-0.653,-0.189,-185.852,-46.265,-82.825

0.338,-0.621,-0.225,-181.824,-47.363,-80.872

0.353,-0.593,-0.235,-184.143,-46.082,-80.566

0.358,-0.585,-0.219,-191.650,-44.373,-82.397

0.351,-0.578,-0.181,-203.247,-43.701,-87.036

0.339,-0.618,-0.109,-215.698,-44.189,-92.590

0.305,-0.710,-0.003,-226.746,-43.030,-95.154

0.277,-0.769,0.127,-234.314,-36.865,-93.628

0.270,-0.808,0.223,-234.985,-29.907,-89.844

0.257,-0.884,0.259,-226.196,-26.062,-81.177

0.248,-0.939,0.287,-216.553,-26.428,-75.684

0.240,-0.944,0.292,-206.726,-28.198,-70.740

0.245,-0.941,0.287,-197.693,-30.579,-67.139

0.248,-0.925,0.275,-190.857,-33.752,-65.979

0.239,-0.905,0.265,-188.416,-36.255,-66.650

0.237,-0.892,0.273,-190.002,-36.987,-66.895

0.234,-0.885,0.299,-194.214,-36.011,-65.857

0.224,-0.871,0.338,-200.745,-34.241,-64.209

0.216,-0.869,0.380,-207.214,-30.762,-60.669

0.211,-0.878,0.420,-211.731,-27.405,-54.688

0.202,-0.889,0.468,-215.820,-24.414,-48.523

0.202,-0.905,0.522,-218.323,-22.034,-43.213

0.205,-0.937,0.571,-216.248,-19.104,-36.377

0.209,-0.969,0.637,-214.417,-17.761,-33.386

0.190,-1.016,0.704,-209.900,-17.212,-32.288

0.214,-1.028,0.750,-200.928,-17.334,-32.166

0.198,-1.045,0.763,-188.232,-17.639,-31.067

0.195,-1.048,0.763,-176.575,-17.639,-29.175

0.191,-1.028,0.762,-166.687,-16.907,-26.733

0.196,-1.011,0.771,-157.959,-14.771,-22.461

0.203,-0.994,0.787,-151.550,-13.123,-18.555

0.207,-0.980,0.801,-146.667,-12.756,-16.174

0.203,-0.960,0.820,-143.250,-13.184,-15.198

