aX,aY,aZ,gX,gY,gZ
0.151,-0.658,0.269,316.467,45.288,77.454

0.156,-0.601,0.201,314.697,45.410,92.957

0.169,-0.531,0.141,309.021,46.204,106.812

0.199,-0.486,0.083,304.260,48.462,117.676

0.232,-0.441,0.032,298.279,52.551,126.343

0.250,-0.399,-0.017,290.405,55.298,128.662

0.252,-0.370,-0.061,283.997,55.786,124.817

0.266,-0.347,-0.091,277.954,55.237,119.751

0.277,-0.323,-0.120,272.156,52.002,113.464

0.266,-0.315,-0.148,268.860,47.302,105.835

0.259,-0.308,-0.162,266.724,45.471,99.976

0.250,-0.285,-0.187,265.015,44.861,96.741

0.225,-0.244,-0.214,264.648,43.274,95.276

0.238,-0.214,-0.233,264.832,40.588,95.825

0.249,-0.183,-0.256,264.404,39.063,97.656

0.246,-0.145,-0.286,262.756,35.461,96.924

0.253,-0.089,-0.304,261.353,32.532,95.398

