aX,aY,aZ,gX,gY,gZ
2.165,-0.566,-0.099,82.031,-88.989,116.272



0.872,1.383,0.418,-23.926,-138.977,65.002

0.873,1.429,0.526,-30.396,-133.301,48.218

0.916,1.499,0.513,-36.743,-118.164,37.231

0.872,1.661,0.386,-45.715,-101.563,26.123

0.784,1.654,0.428,-64.331,-96.619,6.897

0.695,1.748,0.149,-94.543,-104.797,-16.663

0.740,1.696,0.196,-86.670,-124.817,-43.213

0.752,1.720,0.224,-81.909,-151.489,-67.383

0.797,1.730,0.371,-78.613,-170.715,-87.891

0.592,1.695,0.231,-73.242,-175.354,-109.192

0.505,1.481,0.344,-55.542,-179.749,-135.803

0.362,1.156,0.469,-47.546,-175.720,-161.011

0.043,0.850,0.561,-62.622,-156.433,-173.035

-0.328,0.441,0.677,-89.539,-131.409,-177.673

-0.699,-0.033,0.828,-123.047,-108.521,-180.298

-1.006,-0.522,1.074,-159.302,-92.590,-183.777

-1.452,-1.012,1.555,-183.960,-90.271,-186.157

-1.846,-1.731,1.784,-182.251,-104.919,-185.852

-1.917,-2.264,1.930,-167.236,-141.663,-170.166

-1.571,-2.421,2.070,-139.160,-202.148,-137.756

-1.052,-2.393,2.059,-79.773,-267.822,-114.868

-0.552,-2.238,2.057,-14.832,-307.739,-116.516

0.089,-2.102,2.046,49.500,-290.833,-130.737

0.674,-1.762,1.956,104.919,-225.159,-148.071

1.004,-1.593,1.545,117.798,-137.024,-164.307

1.241,-1.390,1.289,98.389,-64.453,-147.644

0.976,-0.823,1.086,35.645,-16.296,-105.408

0.721,-0.374,0.979,41.443,74.341,-42.175

0.224,-0.669,1.080,66.284,155.701,30.945

-0.225,-0.686,1.255,35.400,180.908,76.477

-0.539,-0.618,1.314,6.653,153.809,100.403

-0.745,-0.415,1.184,8.301,98.938,117.554

-0.808,-0.162,1.029,12.756,33.630,141.052

-0.712,-0.038,0.913,12.329,-23.193,165.222

-0.606,-0.042,0.914,10.742,-62.805,177.002

-0.511,-0.211,1.050,4.089,-82.703,172.852

-0.422,-0.349,1.202,-13.000,-82.642,165.222

-0.340,-0.350,1.314,-42.297,-69.458,164.429

-0.339,-0.206,1.414,-67.322,-46.814,171.143

-0.358,-0.025,1.429,-69.580,-12.085,180.786

-0.359,0.077,1.442,-56.091,29.541,181.335

-0.377,0.106,1.447,-30.823,67.200,167.786

-0.351,0.220,1.232,10.986,98.389,151.306

-0.240,0.280,1.073,46.143,117.798,127.808

-0.072,0.307,0.952,72.449,126.282,100.098

0.060,0.312,0.868,91.125,129.211,82.031

0.199,0.299,0.907,95.398,124.512,72.021

0.356,0.231,0.860,91.736,115.967,67.810

0.400,0.236,0.955,84.351,106.079,68.848

0.435,0.273,1.050,73.669,99.792,73.303

0.455,0.323,1.089,65.002,97.778,81.360

0.417,0.383,1.074,56.030,95.947,88.135

0.356,0.406,1.052,49.622,94.482,88.379

0.316,0.481,1.033,54.077,92.407,85.083

0.499,0.432,0.782,70.374,87.952,78.064

0.555,0.551,0.651,88.501,77.759,74.097

0.639,0.530,0.642,93.506,62.927,71.838

0.661,0.545,0.645,87.524,61.340,61.035

0.628,0.521,0.747,74.158,63.049,49.316

0.588,0.501,0.726,63.293,68.970,41.199

0.609,0.428,0.727,56.580,68.970,35.706

0.627,0.395,0.667,47.974,64.880,33.813

0.632,0.393,0.665,37.842,56.213,38.818

0.638,0.380,0.693,36.194,45.410,49.011

0.616,0.353,0.671,42.969,34.119,57.068

0.635,0.383,0.600,53.101,22.461,58.716

0.636,0.480,0.579,55.725,13.000,57.373

0.639,0.538,0.576,60.913,4.883,58.289

0.615,0.519,0.623,62.378,-1.099,56.091

0.595,0.483,0.685,54.504,-2.075,47.363

0.584,0.416,0.754,47.607,2.319,39.978

0.610,0.360,0.782,42.725,9.033,35.339

0.633,0.350,0.814,37.231,15.625,32.959

0.641,0.335,0.818,34.729,19.531,35.156

0.631,0.329,0.828,37.231,18.127,41.260

0.633,0.359,0.766,41.870,12.512,45.715

0.635,0.438,0.734,42.236,7.263,45.898

0.595,0.470,0.699,45.654,1.526,44.617

0.550,0.447,0.705,46.265,-7.629,41.687

0.536,0.384,0.722,51.331,-19.043,40.344

0.533,0.333,0.762,54.321,-30.334,39.185

0.542,0.306,0.821,45.288,-36.804,32.593

0.566,0.312,0.857,44.617,-37.964,31.189

0.578,0.356,0.908,45.105,-34.790,34.424

0.570,0.401,0.952,46.753,-29.480,38.574

0.559,0.475,0.959,49.133,-20.203,42.786

0.530,0.515,0.955,50.842,-7.629,46.509

0.509,0.531,0.942,52.307,4.761,49.683

0.494,0.566,0.908,49.683,14.648,51.636

0.450,0.594,0.888,43.701,20.386,52.368

0.412,0.600,0.860,34.912,21.667,52.307

0.385,0.622,0.833,22.522,19.897,50.537

0.381,0.630,0.777,9.460,16.541,47.058

0.350,0.650,0.741,-2.136,13.428,43.030

0.344,0.664,0.709,-13.245,10.376,37.903

0.331,0.654,0.695,-23.682,5.371,32.043

0.295,0.645,0.702,-29.358,1.160,27.405

0.259,0.637,0.698,-30.945,-3.235,23.560

0.228,0.642,0.684,-27.832,-9.094,20.203

0.226,0.667,0.668,-24.170,-16.663,15.259

0.227,0.689,0.688,-22.400,-25.024,8.362

0.221,0.696,0.716,-20.935,-32.471,2.625

0.228,0.710,0.744,-19.531,-39.551,-1.038

0.232,0.737,0.765,-20.386,-45.410,-4.028

0.226,0.771,0.772,-22.766,-49.377,-6.470

0.214,0.806,0.786,-24.658,-51.147,-8.972

0.193,0.853,0.810,-27.161,-49.805,-12.024

0.160,0.895,0.825,-27.588,-45.227,-13.794

0.122,0.981,0.837,-25.452,-37.842,-14.099

0.082,1.080,0.842,-18.738,-25.146,-13.611

0.059,1.169,0.844,-4.150,-8.606,-13.489

0.052,1.271,0.839,12.817,8.484,-15.808

0.073,1.394,0.825,28.809,25.574,-20.020

0.096,1.519,0.812,42.603,41.260,-24.963

0.092,1.675,0.832,49.438,51.514,-30.640

0.103,1.845,0.843,47.607,55.054,-37.720

0.106,2.021,0.840,41.565,54.138,-47.241

0.086,2.229,0.829,32.593,49.866,-59.448

0.107,2.437,0.817,27.405,43.823,-74.036



0.234,2.884,0.875,41.504,28.992,-109.680

0.207,2.935,0.934,65.247,24.902,-134.277

0.087,2.721,0.996,83.740,30.762,-174.561

-0.002,2.269,0.990,76.416,47.668,-230.286

-0.082,1.591,0.856,42.236,65.369,-284.729

-0.179,0.922,0.812,-16.296,72.754,-324.585

-0.374,0.274,0.783,-99.365,63.354,-346.313

-0.731,-0.418,0.797,-184.448,43.579,-342.529

-1.163,-1.297,0.703,-247.437,22.156,-306.885

-1.790,-2.285,0.646,-261.169,-7.568,-246.521

-2.295,-3.417,0.324,-206.421,-36.316,-194.092

-2.305,-4.000,-0.045,-116.699,-53.650,-186.829

-2.037,-4.000,-0.033,-54.871,-85.022,-217.285

-1.294,-4.000,0.280,9.888,-146.545,-271.484

-0.425,-4.000,0.928,75.439,-222.046,-310.242

0.559,-4.000,1.983,106.384,-270.325,-283.936

1.574,-4.000,3.016,103.638,-262.451,-203.857

2.144,-3.522,2.992,122.437,-200.562,-107.361

1.923,-2.517,2.429,138.550,-94.666,10.376

1.060,-1.942,1.807,89.050,29.175,138.733

0.134,-1.836,1.763,3.784,110.046,225.403

-0.649,-1.812,1.655,-40.527,142.944,252.808

-1.129,-1.567,1.403,-14.221,136.597,245.300

-1.111,-1.219,1.035,47.791,111.450,231.995

-0.887,-0.897,0.720,82.153,84.839,220.825

-0.655,-0.693,0.593,73.181,55.176,204.590

-0.484,-0.639,0.586,52.673,28.809,184.753

-0.354,-0.736,0.666,47.852,10.925,167.114

-0.200,-0.719,0.777,52.612,-0.793,157.166

-0.003,-0.617,0.889,56.030,-10.071,153.870

0.180,-0.467,1.000,60.364,-13.916,153.625

0.338,-0.343,1.092,63.538,-9.033,153.870

0.465,-0.268,1.133,62.378,2.869,155.273

0.508,-0.186,1.093,51.819,16.357,156.738

0.497,-0.099,1.007,32.288,26.001,158.936

0.448,-0.099,0.885,9.460,28.625,162.903

0.388,-0.052,0.807,-24.658,22.278,164.429

0.328,-0.024,0.707,-36.987,9.399,161.377

0.275,0.093,0.616,-41.138,-4.517,153.381

0.257,0.210,0.552,-30.151,-18.494,142.639

0.246,0.322,0.543,-18.494,-29.236,128.113

0.269,0.314,0.562,-6.470,-33.203,112.244

0.300,0.319,0.620,-2.625,-32.471,98.389

0.327,0.328,0.715,-2.319,-28.931,89.233

0.326,0.360,0.758,-1.038,-25.513,86.792

0.328,0.457,0.796,-5.432,-23.071,87.158

0.317,0.505,0.838,-4.883,-22.461,86.121

0.327,0.528,0.880,-6.348,-22.522,82.642

0.366,0.563,0.902,-9.888,-20.508,77.637

0.398,0.618,0.883,-10.925,-17.334,74.890

0.415,0.632,0.868,-8.972,-13.611,74.646

0.404,0.615,0.877,-8.484,-9.094,74.341

0.390,0.603,0.861,-9.094,-4.822,72.998

0.388,0.607,0.852,-9.583,-1.709,71.777

0.399,0.615,0.829,-10.559,1.099,70.740

0.407,0.622,0.795,-10.559,2.869,69.641

0.387,0.639,0.781,-7.629,3.479,68.787

0.340,0.651,0.790,-2.197,3.174,69.641

0.284,0.650,0.812,5.615,1.099,70.251

0.227,0.661,0.844,13.000,-1.953,68.726

0.180,0.671,0.891,17.578,-5.371,65.308

0.151,0.668,0.953,20.142,-8.667,61.096

0.132,0.685,1.003,18.982,-11.780,57.739

0.109,0.720,1.030,18.005,-13.306,54.138

0.107,0.713,1.059,21.851,-10.620,49.194

0.121,0.736,1.079,19.470,-8.362,43.640

0.124,0.708,1.069,16.541,-5.493,38.513

0.148,0.735,1.058,8.484,-2.991,36.011

0.172,0.739,1.028,1.221,1.099,33.936

0.183,0.705,0.989,-7.996,4.028,30.151

0.188,0.679,0.967,-22.583,4.822,24.048

0.178,0.568,0.914,-28.442,5.005,17.212

0.184,0.542,0.868,-36.865,2.808,10.742

0.215,0.519,0.835,-47.119,-0.122,3.296

0.222,0.457,0.811,-42.297,-4.333,-4.395

0.241,0.413,0.781,-35.400,-8.301,-10.193

0.279,0.395,0.763,-25.208,-11.780,-13.245

0.327,0.387,0.773,-17.151,-14.526,-12.573

0.363,0.398,0.772,-11.841,-15.442,-8.667

0.361,0.412,0.792,-8.301,-13.611,-4.028

0.356,0.413,0.802,-6.958,-9.460,-1.648

0.357,0.432,0.801,-8.606,-4.761,-1.099

0.352,0.449,0.790,-9.033,0.366,-1.831

0.340,0.446,0.772,-6.653,4.822,-2.625

0.337,0.446,0.754,-3.174,6.958,-3.784

