aX,aY,aZ,gX,gY,gZ
0.409,0.425,0.656,3.296,-13.733,31.128

0.395,0.404,0.745,18.494,-13.489,29.663

0.395,0.387,0.854,26.794,-10.010,28.687

0.393,0.380,0.949,27.832,-4.944,31.006

0.403,0.411,1.020,23.254,0.671,36.011

0.418,0.471,1.047,15.137,6.958,41.565

0.418,0.507,1.023,7.385,13.184,45.044

0.408,0.518,1.003,-0.610,19.409,45.959

0.392,0.518,0.981,-7.568,24.597,44.189

0.374,0.527,0.931,-11.902,26.794,39.978

0.362,0.517,0.881,-10.437,25.574,34.302

0.345,0.471,0.856,-8.667,22.034,27.344

0.329,0.440,0.843,-12.634,16.846,19.348

0.326,0.397,0.818,-10.376,10.498,11.719

0.340,0.377,0.801,-9.949,3.540,4.944

0.364,0.341,0.823,-9.888,-2.747,-1.099

0.405,0.312,0.857,-10.315,-8.667,-5.127

0.451,0.306,0.892,-12.329,-13.123,-5.554

0.493,0.308,0.909,-13.428,-15.137,-1.953

0.513,0.317,0.917,-15.259,-14.771,3.296

